tstat,pval,mean_diff,steps
-30.211058309209733,4.7085256357761085e-105,-0.015028440389860405,4
-37.012866567336026,6.121911297971375e-131,-0.023620674070198217,6
-20.5508489455457,1.72622435595649e-64,-0.020548690990085564,8
-26.042394129619034,5.381201356628071e-88,-0.02788959437509675,10
-21.231756363432677,1.9227525554831697e-67,-0.03045929406995128,12
-25.197948364896416,1.917745993745761e-84,-0.03622039119505645,14
-32.17255904858353,8.938430677129963e-113,-0.03470393450999834,16
-32.048095777642494,2.723442240500892e-112,-0.04750231481525588,18
-30.910305019559644,7.885270061815546e-108,-0.062494972085078176,20
